"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Cameroon","CMR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.8","28.5","26.5","24.4","22.4","20.3","18.2","16.2","14.4","12.9","11.5","10.1","8.7","7.4","6.5","6.5","7.3","","",
"Congo, Dem. Rep.","COD","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8","34","32.8","34.2","36.7","40.2","41.6","42.2","41.8","41.3","40.5","39.5","39.2","38.7","38.2","37.7","37.5","","",
"Colombia","COL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.7","9.4","9.2","9.2","9.3","9.7","9.6","9.3","9.5","10.4","11.1","10.9","10","8.9","7.9","7.1","6.5","","",
"Comoros","COM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.9","17.9","17.5","16.3","14.9","14","13.9","14","14.5","14.9","15.3","15.1","14.7","14","13.3","12.7","12.3","","",
"Costa Rica","CRI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","5.3","5.7","5.9","5.8","5.4","5.1","5","5.1","5.2","5.2","5.2","5.4","5.5","5.4","4.9","4.4","","",
"Caribbean small states","CSS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.85773140600523","8.38113904440122","8.26748797417075","8.36541938896091","8.50536446683138","8.51344720830071","8.5497822340856","8.61157383124423","8.78452385538424","8.85623329714127","8.77603256752002","8.57899259344705","8.33631466167082","8.08542565425651","7.84340172133375","7.52986920906844","7.30295926363025","","",
"Cuba","CUB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","2.8","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Curacao","CUW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.9","4.4","4.9","5.4","5.7","5.6","5.1","4.7","4.4","4.3","4.2","4.3","4.4","4.5","4.5","4.6","","",
"Czech Republic","CZE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Germany","DEU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Djibouti","DJI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.1","45.4","42.7","39.8","36.2","32.2","28.6","25.6","23.9","22.9","22.3","21.3","20.2","19.3","19.1","19.4","19.7","","",
"Dominica","DMA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","4.4","4.6","5","5.5","5.7","5.6","5.1","4.9","4.9","5.2","5.6","5.9","6","5.9","5.6","5.2","","",
"Denmark","DNK","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Dominican Republic","DOM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.1","27.1","27.5","28.3","27","24.4","21.9","20.9","20.2","18.6","16.5","14.6","13.4","12.7","11.9","11.1","10.4","","",
"Algeria","DZA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7","10.2","9.7","9.3","9","8.8","8.4","8","7.6","7","6.3","5.6","5","4.7","4.6","4.6","4.7","","",
